YEAR	country	dim	from	to	TB	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80
1980	ZAF	HIV	HIV-	HIVu1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1981	ZAF	HIV	HIV-	HIVu1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1982	ZAF	HIV	HIV-	HIVu1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1983	ZAF	HIV	HIV-	HIVu1	NA	0.000094881	0	0	0.000166793	0.000453418	0.000521476	0.000498391	0.000403705	0.000325056	0.000245295	0.000182301	0.000138056	0.00011179	0.000109057	0.000111237	0.0000567	0
1984	ZAF	HIV	HIV-	HIVu1	NA	0.00004042	0	0	0.000032314	0.000095582	0.000115295	0.000113449	0.00009455	0.000075018	0.000055635	0.000040976	0.000031465	0.000026762	0.000026402	0.000026016	0.000015006	0
1985	ZAF	HIV	HIV-	HIVu1	NA	0.000037049	0	0	0.000016715	0.000049108	0.000059156	0.000057581	0.000048842	0.000038209	0.00002853	0.000020984	0.000016086	0.000013753	0.000013391	0.000013357	0.000007553	0
1986	ZAF	HIV	HIV-	HIVu1	NA	0.000036907	0	0	0.000019369	0.000056829	0.000068489	0.000066182	0.000056983	0.000044013	0.000033091	0.000024252	0.000018613	0.000016001	0.000015441	0.000015481	0.000008701	0
1987	ZAF	HIV	HIV-	HIVu1	NA	0.000037128	0	0	0.0000234	0.000068772	0.000083088	0.000079813	0.0000697	0.000053118	0.000040276	0.000029338	0.0000226	0.000019554	0.000018742	0.000018802	0.000010603	0
1988	ZAF	HIV	HIV-	HIVu1	NA	0.000037589	0	0	0.000028775	0.000084958	0.000102941	0.000098622	0.000086683	0.000065841	0.000049967	0.000036258	0.000028062	0.000024424	0.000023386	0.000023279	0.000013307	0
1989	ZAF	HIV	HIV-	HIVu1	NA	0.00003829	0	0	0.000035988	0.000107035	0.000129978	0.000124738	0.000109224	0.000083854	0.000062948	0.000045741	0.000035542	0.000031096	0.000029943	0.000029345	0.000017112	0
1990	ZAF	HIV	HIV-	HIVu1	NA	0.000039376	0	0	0.00004576	0.00013728	0.000167002	0.000160912	0.000139631	0.000109106	0.000080477	0.000058777	0.000045768	0.000040291	0.000039139	0.000037702	0.000022392	0
1991	ZAF	HIV	HIV-	HIVu1	NA	0.00004133	0	0	0.000059507	0.000179929	0.000219294	0.000211953	0.000182625	0.000144792	0.00010508	0.00007719	0.000060036	0.000053304	0.000052189	0.000049615	0.000029852	0
1992	ZAF	HIV	HIV-	HIVu1	NA	0.000044639	0	0	0.00007815	0.000237775	0.000290025	0.000281047	0.000240515	0.000193276	0.000138016	0.000102194	0.000079029	0.000070825	0.000069867	0.000065788	0.000039897	0
1993	ZAF	HIV	HIV-	HIVu1	NA	0.000049927	0	0	0.000102757	0.000314046	0.000383342	0.000371822	0.000316825	0.000256089	0.000181956	0.000134828	0.000103712	0.000093642	0.000092922	0.000087276	0.000052852	0
1994	ZAF	HIV	HIV-	HIVu1	NA	0.000057654	0	0	0.000134506	0.000412176	0.000503825	0.000488048	0.000415542	0.000334603	0.000240176	0.000176039	0.000135177	0.000122423	0.000122003	0.000115107	0.000069039	0
1995	ZAF	HIV	HIV-	HIVu1	NA	0.000068126	0	0	0.000174055	0.000534214	0.000654097	0.000632021	0.000538613	0.000430011	0.000314435	0.000226453	0.000174056	0.000157224	0.000157326	0.000149557	0.000088623	0
1996	ZAF	HIV	HIV-	HIVu1	NA	0.000081959	0	0	0.00022248	0.000678677	0.000832128	0.000802315	0.000683756	0.000542012	0.000403057	0.000285698	0.000220141	0.000197224	0.000198359	0.000189737	0.000111267	0
1997	ZAF	HIV	HIV-	HIVu1	NA	0.000099929	0	0	0.000274365	0.000838943	0.00103	0.000991083	0.000844854	0.00066474	0.000502462	0.000350716	0.000271872	0.000240273	0.000242944	0.000233739	0.000135732	0
1998	ZAF	HIV	HIV-	HIVu1	NA	0.000122945	0	0	0.000327791	0.001	0.00123	0.00118	0.00101	0.000789959	0.000602212	0.000418735	0.00032471	0.000283312	0.000287418	0.000277795	0.000160431	0
1999	ZAF	HIV	HIV-	HIVu1	NA	0.000150606	0	0	0.000379131	0.00115	0.00142	0.00136	0.00116	0.000906732	0.000689796	0.000485345	0.000372637	0.000322698	0.000327085	0.00031721	0.00018303	0
2000	ZAF	HIV	HIV-	HIVu1	NA	0.000181748	0	0	0.000426443	0.00127	0.00157	0.00151	0.00128	0.001	0.000756486	0.000543196	0.000410525	0.000354741	0.000357412	0.00034789	0.000200761	0
2001	ZAF	HIV	HIV-	HIVu1	NA	0.000216105	0	0	0.000454084	0.00137	0.00167	0.00161	0.00137	0.00107	0.000799483	0.000584468	0.000435381	0.00037663	0.000375465	0.000367558	0.000211658	0
2002	ZAF	HIV	HIV-	HIVu1	NA	0.000253445	0	0	0.00047164	0.00142	0.00172	0.00166	0.00141	0.0011	0.000817693	0.000607798	0.000446137	0.000387965	0.000381158	0.000375699	0.000215517	0
2003	ZAF	HIV	HIV-	HIVu1	NA	0.000293759	0	0	0.000477197	0.00143	0.00172	0.00166	0.00141	0.00111	0.000816457	0.000611919	0.000447188	0.00038871	0.000377138	0.000373836	0.000213014	0
2004	ZAF	HIV	HIV-	HIVu1	NA	0.000335523	0	0	0.000473301	0.00142	0.00169	0.00163	0.00139	0.00109	0.000802081	0.000599709	0.000442578	0.00038048	0.000366815	0.000364549	0.000205806	0
2005	ZAF	HIV	HIV-	HIVu1	NA	0.000375675	0	0	0.00046294	0.00138	0.00163	0.00157	0.00134	0.00105	0.000777979	0.000576927	0.000433252	0.00036599	0.000352604	0.000350079	0.000195584	0
2006	ZAF	HIV	HIV-	HIVu1	NA	0.000411857	0	0	0.000446488	0.00131	0.00157	0.00149	0.00128	0.001	0.000743219	0.000547146	0.000417286	0.000346531	0.000334687	0.000330777	0.000182706	0
2007	ZAF	HIV	HIV-	HIVu1	NA	0.000441444	0	0	0.000421528	0.00123	0.00147	0.00138	0.00119	0.000933955	0.00069423	0.000507418	0.000392679	0.00032025	0.000311195	0.000305422	0.000166315	0
2008	ZAF	HIV	HIV-	HIVu1	NA	0.000462726	0	0	0.000388268	0.00111	0.00134	0.00125	0.00107	0.000845407	0.000631811	0.000459811	0.00035823	0.00028972	0.000281545	0.000275447	0.000147059	0
2009	ZAF	HIV	HIV-	HIVu1	NA	0.000475496	0	0	0.000352621	0.000999244	0.0012	0.00111	0.000949027	0.000754374	0.00056664	0.000412423	0.000320132	0.000260399	0.000250425	0.000245948	0.000127979	0
