uid,n_hit,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,omegaS0,pEhigh,phiH,phiHmul2010,pR,pT,rho,sageA15,sigma,smul,theta,zeta
5b1b137b6569a85b7fb83b0d96ce8e15,35,4.035828324,0.291398919,2.238857673,0.955404203,0.342610802,23.37842085,0.206192456,0.424708764,0.620150631,0.636390752,0.448558123,0.678813957,0.536115689,0.257649366,0.184286399,0.877248181,0.143370889,0.005565425,0.080660353,0.018801602,0.772291592,0.040727754,0.403481166,3.118300664,2.315056643,0.725498642,0.001541271,0.007714549,0.47279863,0.000267376,1.051686701,0.072712977,0.456548526
8a2ec3a729c5efb7f1a44cfe472b60a2,34,4.284433388,0.360247853,2.449795468,0.688265027,0.644472158,25.37048053,0.204158113,0.35178045,0.72080887,0.611652338,0.457054748,0.731306794,0.474022526,0.300252209,0.19154376,0.83091522,0.136302572,0.003807956,0.079917858,0.017431846,0.673228361,0.041401229,0.390852372,3.198992086,1.58239502,0.695822297,0.001420216,0.006988842,0.457060021,0.000251724,1.028967273,0.071876576,0.578120872
0bf0a06a78f64f5d0eb61a09a90d4bdc,34,1.724568601,1.375474386,3.35671113,1.645142836,0.361690189,13.13458029,0.240493608,0.345463848,0.613682673,0.347200838,0.279555749,0.751338869,0.720205162,0.466768039,0.099877729,0.977119873,0.158065597,0.008380595,0.103915123,0.01605741,0.479738599,0.037609011,0.397564035,2.127798649,4.145719382,0.736697332,0.001323443,0.005170453,0.652204623,0.000795037,1.436937534,0.100150298,0.347067089
2d021a11f0687fb64ef1f18bd12a7aa0,33,2.416752755,1.155529211,0.771164189,0.324563101,0.854332938,26.05370005,0.22925582,1.092263644,0.321757964,0.718891303,0.722323209,0.567134581,0.334448817,0.637861184,0.168055338,0.645280262,0.14730096,0.004258956,0.11880094,0.010201653,1.089547761,0.039451033,0.423799817,3.571350173,4.034244794,0.772567105,0.001470087,0.004166926,0.435610107,0.00081645,1.248426144,0.090242547,0.402171411
39ef7221a6a893b92acdd50a261bf6ae,33,3.510015762,1.325389809,0.763197929,0.178006189,1.701601792,16.40862014,0.149316585,1.188208386,0.225718104,0.596707357,0.969652253,0.514838053,0.650514681,0.155401251,0.125704321,0.774468389,0.078985979,0.009541877,0.05447006,0.011964305,1.323522929,0.032040874,0.39372126,1.68828844,3.120801348,0.685505598,0.000839612,0.008299042,0.617165178,0.000765389,1.133915147,0.086146693,0.620307128
6783a2ae9b43db5261cfe55a680a2dc7,33,4.805867551,0.927870899,2.241935319,0.738828168,0.896444443,20.07353404,0.195725732,0.68323516,0.305332338,0.46677592,0.631361479,0.833915921,0.288535977,0.320673341,0.179398791,0.887344551,0.098177507,0.003779501,0.086731236,0.021418727,0.546301234,0.032508959,0.379829923,3.333755101,0.994849221,0.672743495,0.001162769,0.008635356,0.412479743,0.000360159,0.715376553,0.084920218,0.802323346
6dfb5e03d7f37cefb774a18a9b8bf6fa,33,4.198066167,0.455930121,2.477028922,0.791977092,0.615317413,22.51839284,0.221408829,0.417757928,0.610593602,0.600775571,0.494266885,0.798472148,0.445138565,0.245161001,0.192208867,0.949977531,0.14052184,0.006984864,0.061657647,0.019836974,0.942552933,0.039816746,0.418702107,2.686741992,1.815496175,0.743661593,0.001606513,0.006387022,0.457957713,0.000251031,0.83357331,0.076837012,0.302606885
cf69a4e4d54ddfac2256a2e4f69b460b,33,4.421963269,0.127613428,2.745129771,1.196048544,0.457286238,23.75585589,0.247608865,0.614988015,0.43695859,0.6827776,0.450238946,0.909088691,0.415012506,0.295363381,0.205631241,0.914157372,0.107294827,0.006716424,0.11334172,0.015905577,0.583217347,0.032282622,0.402750341,2.490707088,0.772413431,0.696946889,0.001418017,0.005959983,0.69484483,0.000410818,0.857818971,0.096360597,0.328519174
33d14e683355cba3dea5dae4249af522,33,4.184653036,0.122508865,2.425988294,0.854706263,0.367869144,25.76473398,0.246016434,0.63335106,0.433429003,0.602091665,0.4831514,0.908631624,0.347688806,0.243580424,0.201626559,0.983281663,0.12637735,0.006339623,0.136828578,0.015555969,0.450823139,0.033501284,0.416829925,1.910851265,1.304176431,0.722671192,0.001512068,0.005763514,0.548391561,0.000266326,0.796676943,0.094499228,0.279045863
5c68640366e24713da8e75ead837161c,33,4.295986764,0.723619212,2.717770085,0.801934228,0.472807292,24.54593169,0.202213958,0.531186861,0.498558688,0.727432757,0.696122369,0.808050898,0.469951975,0.207270515,0.209558005,0.960451318,0.161838703,0.010689161,0.088404372,0.023521425,0.980560936,0.04062017,0.431794849,2.369753222,1.572011147,0.751260296,0.001535638,0.008963503,0.472839754,0.000219186,0.739841018,0.080551457,0.467913034
