n_hit,uid,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,omegaS0,pEhigh,phiH,phiHmul2010,pR,pT,rho,sageA15,sigma,smul,theta,zeta
38,41db673d450333d78cac68cc3b6ab6e5,3.410456169,1.753087038,2.929462075,0.222683672,2.087042701,25.62569245,0.165883765,0.523848734,0.291770345,0.451631277,0.571138761,0.87575637,0.330348943,0.618539393,0.058566423,1.124802969,0.128126727,0.004469696,0.012035062,0.017333879,1.319601619,0.031185369,0.398469311,2.215691225,3.665542449,0.732492724,0.001009262,0.002370126,0.658555763,0.000929116,1.062383325,0.108591,0.331500265
38,d7f48b6638155c15599b075c01e912bf,2.335164053,1.434474973,2.441585915,0.941956529,0.661562537,21.32921469,0.188438033,0.193029279,0.92088982,0.443782741,0.27994578,0.465458844,0.708458316,0.704825885,0.210365758,1.193306661,0.136045715,0.010446765,0.055284522,0.010886307,1.037407389,0.040775744,0.360927995,1.246973672,3.18053722,0.659097989,0.000999513,0.004959014,0.855188837,0.000815674,1.308590071,0.087283222,0.354332179
37,79f890cda3c08efaf942544bee5113ac,3.750512101,0.937290814,2.096673934,0.158917175,2.347786577,20.74442078,0.171523361,0.399798511,0.446002703,0.516255571,0.642392156,0.582588274,0.71345657,0.567340565,0.121625483,1.268281236,0.11961399,0.010379508,0.085326358,0.011788605,0.339997071,0.039247154,0.339364781,2.607405736,1.84845371,0.715856788,0.000912799,0.008330178,0.697637404,0.000681116,1.179654895,0.097130868,0.422595475
37,ba1054d844d2bca93fe9d995e3b7dc22,2.799098877,1.280017456,2.448823126,0.515545925,1.283782123,26.55605668,0.159726263,0.268836698,0.583342464,0.526892165,0.446631318,0.53486587,0.603297481,0.546198475,0.113235573,1.103527162,0.117662135,0.004214367,0.019703084,0.02167371,0.656750583,0.030128153,0.355987265,2.394964281,2.34335302,0.694818579,0.00100444,0.003652389,0.879647171,0.00081796,0.995030627,0.084948884,0.341273289
37,29dbdc71953786fe65b575495d8640ba,2.774355633,0.561197222,2.273720263,0.319973439,1.19717203,29.13889847,0.168929404,0.521968148,0.388426411,0.569107548,0.661035208,0.593594605,0.570383039,0.485755443,0.149997321,1.242647072,0.135829411,0.004968926,0.063684494,0.018224306,0.831959448,0.03400273,0.392849783,3.270478595,1.203109462,0.688470941,0.001004663,0.003746679,0.829229155,0.000766189,1.245771686,0.092984773,0.31369593
37,8b3ab1972f798bca4bd5f7026b4808c4,2.472381044,1.358525094,1.566558771,0.330072534,1.847910323,28.21775865,0.152728568,0.308375628,0.51175474,0.532324852,0.717846456,0.593712079,0.718943948,0.700330144,0.190864982,1.155803477,0.105645549,0.004547351,0.041779729,0.015238587,0.344141416,0.027692135,0.430741101,4.459008523,2.542516785,0.711315121,0.000926044,0.003218568,0.802255593,0.001021439,1.151158481,0.100849783,0.27742428
37,e71b61a3cf13ca7673c22d0ce2727eca,2.070905076,0.934625021,2.588759346,0.254060788,1.831653745,29.78391037,0.13612982,0.445340256,0.446979197,0.504146188,0.707359683,0.556492132,0.534132856,0.528855255,0.104789364,1.132832828,0.133671987,0.003874068,0.019456592,0.011110255,0.942856312,0.02947224,0.416261031,2.776240018,1.264045737,0.721725145,0.000981929,0.002586426,0.816332254,0.000946121,1.196598111,0.084064824,0.292342646
37,fd25736ecb62b0d1b9cc288847610471,3.201420447,1.304754559,1.975498031,0.327974504,1.730873278,29.66789402,0.171471334,0.480124502,0.396463905,0.551245734,0.596192703,0.67728902,0.541043737,0.679356389,0.120911806,1.160034943,0.119619254,0.003863047,0.058593127,0.017561941,0.92610482,0.031732443,0.408898638,3.746449174,2.685170948,0.662264552,0.000982026,0.003108517,0.780560802,0.000905903,1.130961295,0.101180349,0.33845386
37,0e6cb25a457b309a1e6d5b22b294617d,3.027409792,0.496039801,1.815256231,0.250540124,1.234466257,25.37503453,0.176663835,0.763680335,0.323232341,0.611546476,0.617466896,0.5944066,0.658825168,0.404049246,0.163247618,1.232605784,0.125553699,0.004812004,0.060992772,0.01640834,0.896156604,0.035224627,0.378128154,3.110353683,1.59243835,0.686855289,0.00101284,0.004170624,0.788482896,0.000825057,1.308684963,0.095557191,0.350112541
37,bf3acedd469111b1ce1e7ee38c366b9c,2.268984969,1.160184817,2.555427859,0.242154823,1.418980974,25.96145278,0.160617139,0.51269106,0.386744016,0.488699622,0.553658205,0.375972478,0.515046027,0.644739927,0.144576597,1.195096149,0.14618169,0.000765415,0.06084205,0.020148573,0.903673209,0.032864346,0.38749229,2.614104878,2.007389027,0.721750046,0.000993862,0.005042152,0.782074493,0.001062234,1.030269408,0.08567099,0.309999128
