"target","min","max"
"TB_subclinpr_15_992019.5",0,1
"TB_prr_0_992019.5",0,1
"TB_prev_est_0_992019.5",0,1e+20
"TB_inci_0_992000.5",0,1e+20
"TB_inci_0_992019.5",0,1e+20
"TB_inci_0_142019.5",0,1e+20
"TB_inci_15_992019.5",0,1e+20
"TB_notif_0_992000.5",0,1e+20
"TB_notif_0_992019.5",0,1e+20
"TB_notif_0_142019.5",0,1e+20
"TB_notif_15_992019.5",0,1e+20
"TB_deaths_noHIV_0_992000.5",0,1e+20
"TB_deaths_noHIV_0_992019.5",0,1e+20
"HIV_prev_0_142000.5",0,1
"HIV_prev_0_142020.5",0,1
"HIV_prev_15_992000.5",0,1
"HIV_prev_15_992020.5",0,1
"HIV_diag_0_142010.5",0,1
"HIV_diag_0_142020.5",0,1
"HIV_diag_15_992010.5",0,1
"HIV_diag_15_992020.5",0,1
"HIV_artcov_0_142010.5",0,1
"HIV_artcov_0_142020.5",0,1
"HIV_artcov_15_992010.5",0,1
"HIV_artcov_15_992020.5",0,1
"HIV_artsup_0_142010.5",0,1
"HIV_artsup_0_142020.5",0,1
"HIV_artsup_15_992010.5",0,1
"HIV_artsup_15_992020.5",0,1
"TB_newhivinf_0_992000.5",0,1e+20
"TB_newhivinf_0_992019.5",0,1e+20
"TBHIV_morthiv_0_992000.5",0,1e+20
"TBHIV_morthiv_0_992019.5",0,1e+20
"HIV_plus_TBHIVdeaths_0_992000.5",0,1e+20
"HIV_plus_TBHIVdeaths_0_992019.5",0,1e+20
"prop_retreated2019.5",0,1
