scenario,input,xml,runtype
baseline,input.csv,XMLinput_econ_baseline_bmgf.xml,baseline
BCG_NCI_POI_45_10yr_med_2025,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_10yr_med_2025.xml,BCG_NCI_POI_45_10yr_med_2025
BCG_NCI_POI_70_10yr_med_2025,input.csv,BCGecon/XMLinput_BCG_NCI_POI_70_10yr_med_2025.xml,BCG_NCI_POI_70_10yr_med_2025
BCG_NCI_POI_45_5yr_med_2025,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_5yr_med_2025.xml,BCG_NCI_POI_45_5yr_med_2025
BCG_NCI_POI_45_15yr_med_2025,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_15yr_med_2025.xml,BCG_NCI_POI_45_15yr_med_2025
BCG_NCI_POI_45_20yr_med_2025,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_20yr_med_2025.xml,BCG_NCI_POI_45_20yr_med_2025
BCG_AI_POI_45_10yr_med_2025,input.csv,BCGecon/XMLinput_BCG_AI_POI_45_10yr_med_2025.xml,BCG_AI_POI_45_10yr_med_2025
BCG_NCI_POID_45_10yr_med_2025,input.csv,BCGecon/XMLinput_BCG_NCI_POID_45_10yr_med_2025.xml,BCG_NCI_POID_45_10yr_med_2025
BCG_NCI_POI_45_10yr_med_2029,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_10yr_med_2029.xml,BCG_NCI_POI_45_10yr_med_2029
BCG_NCI_POI_45_10yr_med_2025_diffages,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_10yr_med_2025_diffages.xml,BCG_NCI_POI_45_10yr_med_2025_diffages
BCG_NCI_POI_45_10yr_low_2025,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_10yr_low_2025.xml,BCG_NCI_POI_45_10yr_low_2025
BCG_NCI_POI_45_10yr_high_2025,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_10yr_high_2025.xml,BCG_NCI_POI_45_10yr_high_2025
BCG_NCI_POI_45_10yr_med_2025_artsame,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_10yr_med_2025_artsame.xml,BCG_NCI_POI_45_10yr_med_2025_artsame
BCG_NCI_POI_45_10yr_med_2025_artdiff,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_10yr_med_2025_artdiff.xml,BCG_NCI_POI_45_10yr_med_2025_artdiff
BCG_NCI_POI_45_10yr_med_2025_vsupsame,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_10yr_med_2025_vsupsame.xml,BCG_NCI_POI_45_10yr_med_2025_vsupsame
BCG_NCI_POI_45_10yr_med_2025_vsupdiff,input.csv,BCGecon/XMLinput_BCG_NCI_POI_45_10yr_med_2025_vsupdiff.xml,BCG_NCI_POI_45_10yr_med_2025_vsupdiff
M72_AI_POD_50_10yr_med_2030,input.csv,M72econ/XMLinput_M72_AI_POD_50_10yr_med_2030.xml,M72_AI_POD_50_10yr_med_2030
M72_AI_POD_60_10yr_med_2030,input.csv,M72econ/XMLinput_M72_AI_POD_60_10yr_med_2030.xml,M72_AI_POD_60_10yr_med_2030
M72_AI_POD_70_10yr_med_2030,input.csv,M72econ/XMLinput_M72_AI_POD_70_10yr_med_2030.xml,M72_AI_POD_70_10yr_med_2030
M72_AI_POD_50_5yr_med_2030,input.csv,M72econ/XMLinput_M72_AI_POD_50_5yr_med_2030.xml,M72_AI_POD_50_5yr_med_2030
M72_AI_POD_50_15yr_med_2030,input.csv,M72econ/XMLinput_M72_AI_POD_50_15yr_med_2030.xml,M72_AI_POD_50_15yr_med_2030
M72_AI_POD_50_20yr_med_2030,input.csv,M72econ/XMLinput_M72_AI_POD_50_20yr_med_2030.xml,M72_AI_POD_50_20yr_med_2030
M72_CI_POD_50_10yr_med_2030,input.csv,M72econ/XMLinput_M72_CI_POD_50_10yr_med_2030.xml,M72_CI_POD_50_10yr_med_2030
M72_AI_POID_50_10yr_med_2030,input.csv,M72econ/XMLinput_M72_AI_POID_50_10yr_med_2030.xml,M72_AI_POID_50_10yr_med_2030
M72_AI_POD_50_10yr_med_2034,input.csv,M72econ/XMLinput_M72_AI_POD_50_10yr_med_2034.xml,M72_AI_POD_50_10yr_med_2034
M72_AI_POD_50_10yr_med_2030_diffages,input.csv,M72econ/XMLinput_M72_AI_POD_50_10yr_med_2030_diffages.xml,M72_AI_POD_50_10yr_med_2030_diffages
M72_AI_POD_50_10yr_med_2030_young,input.csv,M72econ/XMLinput_M72_AI_POD_50_10yr_med_2030_young.xml,M72_AI_POD_50_10yr_med_2030_young
M72_AI_POD_50_10yr_low_2030,input.csv,M72econ/XMLinput_M72_AI_POD_50_10yr_low_2030.xml,M72_AI_POD_50_10yr_low_2030
M72_AI_POD_50_10yr_high_2030,input.csv,M72econ/XMLinput_M72_AI_POD_50_10yr_high_2030.xml,M72_AI_POD_50_10yr_high_2030
M72_AI_POD_50_10yr_med_2030_hivsame,input.csv,M72econ/XMLinput_M72_AI_POD_50_10yr_med_2030_hivsame.xml,M72_AI_POD_50_10yr_med_2030_hivsame
M72_AI_POD_50_10yr_med_2030_hivpess,input.csv,M72econ/XMLinput_M72_AI_POD_50_10yr_med_2030_hivpess.xml,M72_AI_POD_50_10yr_med_2030_hivpess
