scenario,input,xml,runtype
baseline,input.csv,XMLinput_epi_baseline_bmgf.xml,baseline
BCG_NCI_POI_45_10yr_med_2025_nohiv_age10,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_nohiv_age10.xml,BCG_NCI_POI_45_10yr_med_2025_nohiv_age10
BCG_NCI_POI_45_10yr_med_2025_nohiv_age20,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_nohiv_age20.xml,BCG_NCI_POI_45_10yr_med_2025_nohiv_age20
BCG_NCI_POI_45_10yr_med_2025_nohiv_age30,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_nohiv_age30.xml,BCG_NCI_POI_45_10yr_med_2025_nohiv_age30
BCG_NCI_POI_45_10yr_med_2025_nohiv_age40,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_nohiv_age40.xml,BCG_NCI_POI_45_10yr_med_2025_nohiv_age40
BCG_NCI_POI_45_10yr_med_2025_nohiv_age50,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_nohiv_age50.xml,BCG_NCI_POI_45_10yr_med_2025_nohiv_age50
BCG_NCI_POI_45_10yr_med_2025_artsame_age10,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_artsame_age10.xml,BCG_NCI_POI_45_10yr_med_2025_artsame_age10
BCG_NCI_POI_45_10yr_med_2025_artsame_age20,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_artsame_age20.xml,BCG_NCI_POI_45_10yr_med_2025_artsame_age20
BCG_NCI_POI_45_10yr_med_2025_artsame_age30,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_artsame_age30.xml,BCG_NCI_POI_45_10yr_med_2025_artsame_age30
BCG_NCI_POI_45_10yr_med_2025_artsame_age40,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_artsame_age40.xml,BCG_NCI_POI_45_10yr_med_2025_artsame_age40
BCG_NCI_POI_45_10yr_med_2025_artsame_age50,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_artsame_age50.xml,BCG_NCI_POI_45_10yr_med_2025_artsame_age50
