scenario,input,xml,runtype
baseline,input.csv,XMLinput_epi_baseline_BCG.xml,baseline
BCG_NCI_POI_45_10yr_med_2025,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025.xml,BCG_NCI_POI_45_10yr_med_2025
BCG_NCI_POI_70_10yr_med_2025,input.csv,BCGepi/XMLinput_BCG_NCI_POI_70_10yr_med_2025.xml,BCG_NCI_POI_70_10yr_med_2025
BCG_NCI_POI_45_5yr_med_2025,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_5yr_med_2025.xml,BCG_NCI_POI_45_5yr_med_2025
BCG_NCI_POI_45_15yr_med_2025,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_15yr_med_2025.xml,BCG_NCI_POI_45_15yr_med_2025
BCG_NCI_POI_45_20yr_med_2025,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_20yr_med_2025.xml,BCG_NCI_POI_45_20yr_med_2025
BCG_AI_POI_45_10yr_med_2025,input.csv,BCGepi/XMLinput_BCG_AI_POI_45_10yr_med_2025.xml,BCG_AI_POI_45_10yr_med_2025
BCG_NCI_POID_45_10yr_med_2025,input.csv,BCGepi/XMLinput_BCG_NCI_POID_45_10yr_med_2025.xml,BCG_NCI_POID_45_10yr_med_2025
BCG_NCI_POI_45_10yr_med_2029,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2029.xml,BCG_NCI_POI_45_10yr_med_2029
BCG_NCI_POI_45_10yr_med_2025_diffages,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_diffages.xml,BCG_NCI_POI_45_10yr_med_2025_diffages
BCG_NCI_POI_45_10yr_low_2025,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_low_2025.xml,BCG_NCI_POI_45_10yr_low_2025
BCG_NCI_POI_45_10yr_high_2025,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_high_2025.xml,BCG_NCI_POI_45_10yr_high_2025
BCG_NCI_POI_45_10yr_med_2025_artsame,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_artsame.xml,BCG_NCI_POI_45_10yr_med_2025_artsame
BCG_NCI_POI_45_10yr_med_2025_artdiff,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_artdiff.xml,BCG_NCI_POI_45_10yr_med_2025_artdiff
BCG_NCI_POI_45_10yr_med__2025_vsupsame,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_vsupsame.xml,BCG_NCI_POI_45_10yr_med__2025_vsupsame
BCG_NCI_POI_45_10yr_med_2025_vsupdiff,input.csv,BCGepi/XMLinput_BCG_NCI_POI_45_10yr_med_2025_vsupdiff.xml,BCG_NCI_POI_45_10yr_med_2025_vsupdiff
