scenario,input,xml,runtype
baseline,input.csv,XMLinput_epi_baseline_bmgf.xml,baseline
M72_AI_POD_50_10yr_med_2030,input.csv,M72epi/XMLinput_M72_AI_POD_50_10yr_med_2030.xml,M72_AI_POD_50_10yr_med_2030
M72_AI_POD_60_10yr_med_2030,input.csv,M72epi/XMLinput_M72_AI_POD_60_10yr_med_2030.xml,M72_AI_POD_60_10yr_med_2030
M72_AI_POD_70_10yr_med_2030,input.csv,M72epi/XMLinput_M72_AI_POD_70_10yr_med_2030.xml,M72_AI_POD_70_10yr_med_2030
M72_AI_POD_50_5yr_med_2030,input.csv,M72epi/XMLinput_M72_AI_POD_50_5yr_med_2030.xml,M72_AI_POD_50_5yr_med_2030
M72_AI_POD_50_15yr_med_2030,input.csv,M72epi/XMLinput_M72_AI_POD_50_15yr_med_2030.xml,M72_AI_POD_50_15yr_med_2030
M72_AI_POD_50_20yr_med_2030,input.csv,M72epi/XMLinput_M72_AI_POD_50_20yr_med_2030.xml,M72_AI_POD_50_20yr_med_2030
M72_CI_POD_50_10yr_med_2030,input.csv,M72epi/XMLinput_M72_CI_POD_50_10yr_med_2030.xml,M72_CI_POD_50_10yr_med_2030
M72_AI_POID_50_10yr_med_2030,input.csv,M72epi/XMLinput_M72_AI_POID_50_10yr_med_2030.xml,M72_AI_POID_50_10yr_med_2030
M72_AI_POD_50_10yr_med_2034,input.csv,M72epi/XMLinput_M72_AI_POD_50_10yr_med_2034.xml,M72_AI_POD_50_10yr_med_2034
M72_AI_POD_50_10yr_med_2030_diffages,input.csv,M72epi/XMLinput_M72_AI_POD_50_10yr_med_2030_diffages.xml,M72_AI_POD_50_10yr_med_2030_diffages
M72_AI_POD_50_10yr_med_2030_young,input.csv,M72epi/XMLinput_M72_AI_POD_50_10yr_med_2030_young.xml,M72_AI_POD_50_10yr_med_2030_young
M72_AI_POD_50_10yr_low_2030,input.csv,M72epi/XMLinput_M72_AI_POD_50_10yr_low_2030.xml,M72_AI_POD_50_10yr_low_2030
M72_AI_POD_50_10yr_high_2030,input.csv,M72epi/XMLinput_M72_AI_POD_50_10yr_high_2030.xml,M72_AI_POD_50_10yr_high_2030
M72_AI_POD_50_10yr_med_2030_hivsame,input.csv,M72epi/XMLinput_M72_AI_POD_50_10yr_med_2030_hivsame.xml,M72_AI_POD_50_10yr_med_2030_hivsame
M72_AI_POD_50_10yr_med_2030_hivpess,input.csv,M72epi/XMLinput_M72_AI_POD_50_10yr_med_2030_hivpess.xml,M72_AI_POD_50_10yr_med_2030_hivpess
