n_hit,uid,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,omegaS0,pEhigh,phiH,phiHmul2010,pR,pT,rho,sageA15,sigma,smul,theta,zeta
38,bc72f4c2b4fd16c553f4cfea722f8b11,2.291540042,1.089543738,0.441973495,0.40920258,0.709661011,15.07569395,0.218310019,0.17454881,1.425862325,0.797557882,0.509875594,0.003659713,0.181413843,0.615379426,0.164893048,0.813014974,0.110927127,0.006565041,0.034714847,0.016144308,1.34282344,0.036014088,0.358416342,4.083440983,0.762469954,0.726952993,0.001522282,0.006733997,0.947172458,0.000389137,0.687736264,0.095346775,0.334477014
38,9f01961fad6173ed8ce83f342b02ee6f,2.301804195,1.084730286,0.465247675,0.402389581,0.723974477,15.14588799,0.219560214,0.177290784,1.43505628,0.800887302,0.508500739,0.002918266,0.176696336,0.612999071,0.165449927,0.816703858,0.110762,0.006567261,0.035692783,0.016197552,1.338665543,0.035866119,0.360076074,4.088223603,0.757901989,0.72697977,0.00154663,0.006656723,0.945566449,0.000389616,0.679998599,0.095580759,0.357964684
38,24bf3c45e8aa7ec56d5897a17a164b04,2.580674594,1.136861174,0.923082364,0.611354203,0.678613025,18.21913541,0.231416006,0.236757396,1.138055808,0.783895013,0.501462467,0.338549083,0.430001355,0.561278862,0.162648396,0.852720731,0.133087761,0.005941799,0.055180334,0.016592498,1.364445313,0.042337134,0.374668965,3.475805582,2.031226325,0.694377226,0.001603225,0.005022764,0.817695389,0.000365102,0.782934453,0.094095986,0.392576175
38,7cb7ad5adae05d519688ba18a6e54cb8,2.609648368,1.127869102,0.9436958,0.615602079,0.690606158,18.1728388,0.233582338,0.219719989,1.145247375,0.785006024,0.508815061,0.343379141,0.417494139,0.56321473,0.162613363,0.844369892,0.131289351,0.006186219,0.060347356,0.016841552,1.38270233,0.042098127,0.371635327,3.477225648,2.017781044,0.693009571,0.001632026,0.005166354,0.817335128,0.000360023,0.781354366,0.093568691,0.401184559
38,7a84c01474dfeb408217ad820cd9d20b,2.617749824,1.144527492,0.95610732,0.619517706,0.68873661,18.10164445,0.233148417,0.215609554,1.154214496,0.786897481,0.507807428,0.345509065,0.416054766,0.57308025,0.163461856,0.853671969,0.131139527,0.006254988,0.064220295,0.016922937,1.388990262,0.042132397,0.374275684,3.45634409,2.016804047,0.695350805,0.001594454,0.005256121,0.80944104,0.000367238,0.791179567,0.093774708,0.396220981
38,9c8b94b1a4a73e57f65af15c538e92eb,2.633175802,1.140811805,0.953055009,0.627033907,0.684072542,18.20049157,0.233257048,0.214138647,1.160042764,0.785517206,0.509623503,0.341972032,0.418042042,0.571332601,0.164326741,0.860286065,0.130450239,0.006277196,0.064298903,0.016920731,1.388157336,0.042195684,0.374060057,3.459925351,2.025547496,0.695171434,0.001584476,0.005346916,0.806418794,0.000370164,0.79049077,0.093795582,0.40041709
38,eeaefcc79b564be406542d9dfa24d35c,2.629389271,1.142441583,0.957331048,0.623959019,0.692746736,18.1904852,0.233843911,0.224938924,1.152634573,0.787095384,0.508469533,0.343807402,0.417060598,0.571050643,0.163977846,0.869140026,0.131073338,0.006283911,0.063721863,0.016901603,1.395745409,0.042155953,0.370675139,3.443343117,2.014146116,0.696051684,0.00157728,0.00549031,0.809987264,0.000374136,0.790046779,0.093728483,0.397952228
38,1452903ba214f0803de6fa1a87c748f3,2.640296581,1.140110172,0.942214666,0.631516968,0.691395824,18.12563368,0.233508706,0.224206602,1.158468566,0.78486667,0.509466617,0.338536618,0.419646021,0.570922401,0.163167065,0.860136102,0.13068086,0.006270638,0.061620198,0.016842703,1.39585865,0.042155496,0.37444954,3.428227356,1.995137934,0.696911853,0.001587049,0.005544231,0.8163424,0.000373664,0.790375392,0.093660844,0.407220874
38,8450ef447577e8a7c2174c23c1427385,1.342366073,1.25619825,1.146931165,0.448185677,0.572706639,17.43536565,0.221822018,0.303283285,1.058019846,0.672461232,0.484788703,0.238667763,0.456139187,0.565822269,0.10962397,0.860519061,0.128558889,0.006288943,0.04684032,0.017238334,1.324759015,0.041937943,0.386803534,3.724212396,1.092653546,0.713081626,0.001610996,0.002735686,0.88901533,0.000576011,1.06247845,0.094607009,0.334750052
38,816e9947cafd5c646880be2c9bbb1b57,1.402047372,1.218682401,1.080523794,0.37299427,0.617947424,17.37657271,0.221572487,0.268931509,1.142441473,0.631200215,0.443930334,0.227667767,0.490884048,0.579046665,0.098220234,0.863100517,0.130102477,0.005950686,0.05121826,0.017046681,1.372035731,0.041746368,0.356038802,3.736883654,1.432296766,0.701085427,0.001486534,0.002303078,0.905662904,0.000554086,1.083710453,0.096097693,0.370648197
38,3b4d761a6818f755f82754d71afff319,2.326792955,1.416099817,1.634821742,0.308045509,1.378988295,19.72175503,0.207632839,0.615338997,0.328872268,0.513517741,0.523763099,0.494582606,0.46039824,0.596340737,0.165613297,0.837934734,0.103647035,0.00157437,0.03289622,0.016529218,1.174252778,0.045358539,0.325394162,3.527006036,3.210409249,0.708725411,0.001449255,0.003614724,0.906075826,0.000304299,0.780649584,0.086880218,0.355942686
38,f5a66dbc173f118b9f51d79f4e7f0af6,4.52592068,0.84943803,1.602989786,0.961538544,1.042045771,25.26704767,0.181153902,0.301447978,0.55452387,0.620044948,0.536615656,0.474256392,0.544335943,0.475117289,0.145049142,0.934020311,0.115793161,0.001144699,0.116376833,0.018505031,1.119530115,0.032353927,0.419488948,2.950529655,4.09111972,0.731339029,0.00150185,0.003944712,0.618338315,0.000714405,0.842658306,0.093947772,0.419414932
38,feb41477bd51b24379738dc579aeecf6,4.522439115,0.842471331,1.605983284,0.967644726,1.035999171,25.17145324,0.181546301,0.293409319,0.546694249,0.617042236,0.533671477,0.474178148,0.546852611,0.471300027,0.145211955,0.941200916,0.11534377,0.001132119,0.116287924,0.018429869,1.113297934,0.032424082,0.416086354,2.953346494,4.088536716,0.730592954,0.001490558,0.003678578,0.617499139,0.000711781,0.840299076,0.094019679,0.416193681
38,c1448d8b18acbb1a84dff2b2ea9e7c47,4.530855977,0.844202973,1.601646134,0.963161179,1.045127772,25.36640486,0.180940095,0.297593257,0.544124007,0.615510899,0.539619577,0.480064369,0.546096733,0.470172722,0.147320287,0.952252323,0.114661711,0.001114476,0.114466813,0.018624115,1.124248588,0.032557651,0.414084266,2.967345146,4.072655445,0.730339539,0.001477935,0.003894013,0.619609118,0.000712818,0.844067457,0.093698728,0.414049522
