"filename","runnr","nHITS","of","RESID","SSwR","datetime","aHIVdeath","aHIVslowrecov","aHIVtreatinit","alphaH","alphaHmul2010","atheta","chi","epsilonH","epsilonHmul2010","eta","j1A0","j2A0","j3A0","j4A0","kappa","lambdaH","muDc","muH1","muH2","muK","multiplier","pEhigh","phiH","phiHmul2010","phiS","pR","pT","rho","sageA15","sigma","smul","theta","zeta"
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,17.97,11.86,"2021-12-17_13h40m50s",3.02196,0.66802,1.08962,0.89322,0.53275,21.42622,0.23697,0.50584,0.38448,0.58848,0.32639,0.45208,0.48225,0.50747,0.16779,1.25278,0.09601,0.012,0.06046,0.02097,0.33692,0.37529,1.85915,4.55442,0.02726,0.65658,0.00131,0.00433,0.89493,0.00048,0.89429,0.08767,0.4081
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,17.96,11.8,"2021-12-17_13h45m16s",3.01668,0.66761,1.08635,0.89286,0.53055,21.49271,0.23726,0.5056,0.38563,0.59068,0.32682,0.4519,0.48215,0.50866,0.16791,1.26281,0.09624,0.012,0.05809,0.02097,0.33688,0.38589,1.85798,4.55431,0.02724,0.65722,0.00131,0.00434,0.89504,0.00048,0.89447,0.08747,0.3881
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,17.57,11.23,"2021-12-17_13h53m22s",3.00345,0.66639,1.08302,0.89179,0.52384,21.64587,0.23753,0.50488,0.38917,0.59548,0.32792,0.45161,0.48198,0.51234,0.16875,1.25066,0.09774,0.012,0.05189,0.02097,0.33681,0.38466,1.85437,4.55397,0.02721,0.65772,0.00131,0.0044,0.89633,0.00048,0.89472,0.0873,0.3867
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,17.26,10.78,"2021-12-17_14h01m36s",2.99046,0.66482,1.08157,0.89052,0.51614,21.79505,0.23784,0.504,0.39262,0.60189,0.32918,0.45126,0.48175,0.51676,0.1697,1.24459,0.09945,0.012,0.04524,0.02096,0.33673,0.38408,1.85,4.55355,0.02719,0.65833,0.00131,0.00445,0.89784,0.00048,0.89493,0.0871,0.38739
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.95,10.36,"2021-12-17_14h09m51s",2.97818,0.66291,1.07919,0.8891,0.50805,21.93189,0.23816,0.50297,0.39628,0.60866,0.33063,0.45088,0.48148,0.52161,0.17077,1.2396,0.10135,0.012,0.03855,0.02096,0.33665,0.38343,1.84487,4.55306,0.02716,0.65895,0.0013,0.00449,0.89958,0.00048,0.89519,0.0869,0.38756
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.26,9.876,"2021-12-17_14h14m03s",2.97151,0.66222,1.07356,0.88842,0.50433,21.99544,0.23822,0.50247,0.39793,0.60975,0.33141,0.45078,0.48141,0.52361,0.17138,1.23574,0.10237,0.012,0.0356,0.02096,0.33661,0.37547,1.84233,4.55281,0.02716,0.65888,0.0013,0.00452,0.90059,0.00048,0.89557,0.0869,0.39141
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,17.94,11.77,"2021-12-17_14h14m11s",2.97151,0.66222,1.07356,0.88842,0.50433,21.99544,0.23822,0.50247,0.39793,0.60975,0.33141,0.45078,0.48141,0.52361,0.17138,1.23574,0.10237,0.00575,0.08594,0.02096,0.33661,0.37547,1.84233,4.55281,0.02716,0.65888,0.0013,0.00452,0.90059,0.00048,0.89557,0.0869,0.39141
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.68,10.03,"2021-12-17_14h18m25s",2.96704,0.66079,1.07708,0.88754,0.50008,22.05697,0.2385,0.5018,0.40018,0.61605,0.33227,0.45045,0.48117,0.52688,0.17191,1.2361,0.10337,0.012,0.03225,0.02096,0.33656,0.38283,1.83898,4.55249,0.02713,0.65956,0.0013,0.00451,0.9015,0.00048,0.89563,0.08668,0.38758
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,15.96,9.562,"2021-12-17_14h22m44s",2.96014,0.65985,1.07035,0.8867,0.49609,22.12151,0.23856,0.50116,0.40222,0.61753,0.33328,0.45031,0.48107,0.52936,0.17264,1.23191,0.10456,0.012,0.02929,0.02096,0.33651,0.3745,1.83565,4.55217,0.02713,0.65948,0.0013,0.00454,0.90273,0.00048,0.89618,0.08668,0.39155
"[ZAF][][2021-12-17_13h29m37s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,17.32,10.9,"2021-12-17_14h22m51s",2.96014,0.65985,1.07035,0.8867,0.49609,22.12151,0.23856,0.50116,0.40222,0.61753,0.33328,0.45031,0.48107,0.52936,0.17264,1.23191,0.10456,0.00574,0.0707,0.02096,0.33651,0.3745,1.83565,4.55217,0.02713,0.65948,0.0013,0.00454,0.90273,0.00048,0.89618,0.08668,0.39155
